Date,Log_Returns,Realised_Volatility,RSI,MACD,Normalised_Volume,Momentum
2000-02-01,0.010571919804939768,0.25844569161103625,43.08949781692627,-0.29158787251076623,0,-0.03151517385582503
2000-02-02,-0.0001140064984938377,0.25701078435801894,44.37760207472703,-0.18670605698161358,0,-0.03213080884378894
2000-02-03,0.011185211638299544,0.22089312179638143,43.94684444633873,-0.03580594784361346,0,-0.014250322217799316
2000-02-04,-0.00042108864538068126,0.22090063770129553,39.22544523625575,0.06465859901526283,0,-0.01178764846447411
2000-02-07,-9.100414075115971e-05,0.22091812038030684,41.386226955896625,0.13013997442558534,0,0.016204211389061474
2000-02-08,0.012198297331669486,0.20446780719072688,46.384324212994954,0.2464523205668656,0,0.022474776158041054
2000-02-09,-0.02104183479673088,0.21262964934366121,42.15157317600663,0.1816502838561338,0,0.005420643540112735
2000-02-10,0.0036274129753416677,0.2089830411193208,44.33997238556249,0.15898646669078664,0,0.0130637873533348
2000-02-11,-0.02119197198870185,0.22048375159720576,46.51243742508811,0.012231969388002084,0,0.019822108427414165
2000-02-14,0.002030936252092925,0.21534586974803357,45.00004888797507,-0.06334116720522232,0,-0.0032408650903055225
2000-02-15,0.00867526087108797,0.2140148046844444,49.50792975155771,-0.049839221947478585,0,-0.0051295855130051304
2000-02-16,-0.010308955151175182,0.2153129004653309,47.47860200369205,-0.0961616448527699,0,-0.015220711645111407
2000-02-17,0.0004249097130802858,0.215297374544033,57.88944998116554,-0.1123138340600569,0,-0.025760427162833
2000-02-18,-0.03084691149817694,0.23666695083449557,36.995603419902814,-0.2941817961837927,0,-0.05495606493067051
2000-02-22,0.004506828972353361,0.23824787794977415,33.88854446334771,-0.3601358356619243,0,-0.05060090615842261
2000-02-23,0.006281231696098134,0.22200872106764083,36.95294672272736,-0.33856189141399895,0,-0.05620197562132645
2000-02-24,-0.005350287295336527,0.22069326599704664,29.791410197767362,-0.3310306661319571,0,-0.04127552077294527
2000-02-25,-0.014940048816575608,0.22516099150163385,26.83907544563513,-0.38757969787108526,0,-0.05891235856438015
2000-02-28,0.010956754931582496,0.2297933441334993,31.94826069737725,-0.3294646971645614,0,-0.028166009062720043
2000-02-29,0.013534987396928322,0.21481589382797558,32.23412121371436,-0.18579071026637806,0,-0.01692142600914104
2000-03-01,0.009302596365996552,0.1983954229370366,41.65034998872489,-0.01991913602002171,0,-0.016304512439735075
2000-03-02,0.0018612667678404192,0.19451360135190898,40.872590942060214,0.10690640897863668,0,-0.004259573936705063
2000-03-03,0.01964281060460403,0.2071962776910697,55.808496739744605,0.3102628942945376,0,0.015061527745820813
2000-03-06,-0.012776270060733069,0.20752642369732444,50.327214598419424,0.35345960004871047,0,0.03357107667620385
2000-03-07,-0.02596519698251268,0.2245772028515464,39.83716833138488,0.21601403752801096,0,0.0025510931222827438
2000-03-08,0.008139781907077924,0.22741503635932034,45.34250028276977,0.17507342126917735,0,0.004416117251569096
2000-03-09,0.025279757260370166,0.24174293541899344,52.587327042389795,0.30022516720380443,0,0.035657446821683925
2000-03-10,-0.004734188607596476,0.23137572981179524,60.93388429567557,0.34149814091933783,0,0.04628134273171369
2000-03-13,-0.00824086282658192,0.23231735726521494,56.85631183585585,0.30627986461368817,0,0.026386808285038255
2000-03-14,-0.01784426613778356,0.22893955168658808,49.68589107484113,0.16770738863515577,0,-0.00532036814951764
2000-03-15,0.023989926740096316,0.2446636460328007,57.14284694179595,0.2208645114928044,0,0.009396632385537007
2000-03-16,0.046539060908075934,0.2920098590076929,69.71550067488869,0.5356334645744925,0,0.05551685066296663
2000-03-17,0.00410556064043215,0.28867971614920884,68.86275751725941,0.7346486044966049,0,0.03924376835376031
2000-03-20,-0.005367378640028694,0.2899154746559136,65.13267464779227,0.7888918862880752,0,0.0469720060789347
2000-03-21,0.025244655308698124,0.27380262195814,67.77791103183219,0.9435590450932791,0,0.10198384019437023
2000-03-22,0.004521761410536954,0.27380231521915316,68.19218050793728,1.0185632102007263,0,0.0980040439072769
2000-03-23,0.0176424526608136,0.27729877932236846,68.1238858637968,1.1239920359681503,0,0.08965019362753068
2000-03-24,7.199740812448128e-05,0.27525360626776774,72.0887191481076,1.1248634433192306,0,0.09489986048253085
2000-03-27,-0.002359782096961482,0.266648160342867,80.45633042739675,1.0414753600190032,0,0.10135802683762996
2000-03-28,-0.010641419599994451,0.27239079131446187,75.07217786240102,0.8528485517567646,0,0.10931957818330362
2000-03-29,0.0005238627599404035,0.27117933335213923,71.62132865935263,0.6796980106893782,0,0.08359126571081288
2000-03-30,-0.01375010084416693,0.27793543865916637,67.78546941179732,0.430864828427286,0,0.02019277956077037
2000-03-31,0.007138460456317342,0.27811737192232105,72.0871985822172,0.28243636481724677,0,0.02329161891333431
2000-04-03,0.004918882437640945,0.27220668236606554,80.19002942092413,0.18987348219228828,0,0.033871785554268063
2000-04-04,-0.0074919950383038805,0.26890321897485453,73.16605417762366,0.05582484880430183,0,0.0005742843921221485
2000-04-05,-0.004936162830946102,0.24909021919184515,58.89525746415117,-0.08047120326034829,0,-0.008844460290189704
2000-04-06,0.00934816939232087,0.24935282961258645,60.81752881223503,-0.11820203559961162,0,-0.017031385824937018
2000-04-07,0.009948350653187638,0.23866127533644566,66.81431377670998,-0.08738508404809653,0,-0.0072751418102042775
2000-04-10,-0.007871902283028448,0.24030757828400257,53.47761065981516,-0.13186207645692538,0,-0.01273210699946803
2000-04-11,-0.002575313274380492,0.2375776179223031,49.98266528623714,-0.1860634461830155,0,-0.0047364958286114645
2000-04-12,-0.022522743460061022,0.24344444167155233,30.715910344953684,-0.37144735094966785,0,-0.027411645627703485
2000-04-13,-0.018338120210381496,0.2430234844007352,26.189324951279843,-0.5991280975335846,0,-0.03186367901563991
2000-04-14,-0.06004516473412215,0.27340459625397356,18.18628681558978,-1.0888616927512245,0,-0.0947697967063621
2000-04-17,0.03254850338521688,0.29978850022183556,31.78015407178121,-1.1551077407363106,0,-0.06940990044151829
2000-04-18,0.028259900781736787,0.31728465561040864,39.89466824848652,-0.9702768116274328,0,-0.035537649433243
2000-04-19,-0.009856415263375187,0.3044468328776901,40.68874019845304,-0.8714468665247785,0,-0.04027139250429279
2000-04-20,0.004940774248313446,0.30456622948734036,40.02559982701363,-0.7375902627341253,0,-0.04449198796044229
2000-04-24,-0.003267331920306791,0.2959402190657677,38.044879139926664,-0.6381511627843297,0,-0.057036603137545994
